meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
people lead connect - discuss queries,Packaged App Development Analyst,Human Resources > Talent Strategy,24,Microsoft ASP.NET,Avanade Scrum Project Management,Scrum,12,3,"english, german",full time,11-Analyst,Azure,Azure,mca,IN,required,yes,series,yes
people lead connect - discuss queries,Business Interlock Manager,Training & Development > Business Interlock,13,Automated Testing,Vendor Management,Azure,18,12,"english, chinese",full time,8-Associate Manager,Azure,google cloud,mca,PH,optional,No,instance,yes
User login issue - client call,custom software engineering analyst,Software Engineering > Custom Software Engineering,17,Behavioral Sciences,Agile Team Practices,Azure,8,11,"english, japanese",part time,12-Associate,Azure,Java,mca,PH,required,No,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Custom Software Engineering,9,.NET Architecture,Jakarta Enterprise Beans,management ,14,12,"english, hindi",full time,12-Associate,SAP,SAP,bca,IN,optional,No,series,yes
troubleshooting call - login issue,Tech Architecture Manager,Software Engineering > Custom Software Engineering,11,Advance Front End Development NodeJs,Angular,Azure,15,11,"english, french",full time,12-Associate,Microsoft backend,angular,mba,IN,optional,yes,instance,no
Agile scrum KT call,People Advisor Analyst,Technology & Information Architectures > Technology Architecture,17,ASP.NET MVC,Angular,Selenium,9,10,"english, japanese",full time,7-Manager,Microsoft backend,dot net,btech,PH,optional,yes,instance,yes
java training call,People Advisor Analyst,Software Engineering > Custom Software Engineering,10,Microsoft Azure Machine Learning,SAP for Utilities ,management ,7,11,"english, hindi",full time,9-Team Lead/Consultant,Azure,dot net,bca,SL,required,yes,series,no
Test team status call,Business Interlock Manager,Software Engineering > Custom Software Engineering,6,SAP ABAP Development,Agile Team Practices,management ,6,6,"english, german",full time,11-Analyst,Cloud,angular,btech,SL,optional,yes,series,no
people lead connect - discuss queries,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,6,Java Enterprise Edition,Avanade Scrum Project Management,Selenium,2,12,"english, hindi",full time,10-Senior Analyst,Microsoft backend,google cloud,mca,IN,required,No,instance,no
people lead connect - discuss queries,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,9,.NET Architecture,Microsoft Avanade Agile Framework (AAF),Azure,1,10,"english, hindi",full time,8-Associate Manager,Google cloud,Java,mba,IN,optional,No,instance,yes
